"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay",
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N351","2891","SMF","Sacramento, CA","CA","06","California",91,"ONT","Ontario/San Bernardino, CA","CA","06","California",91,"1225","1232",7.00,7.00,0.00,0,"1200-1259",11.00,"1243","1337",4.00,"1340","1341",1.00,1.00,0.00,0,"1300-1359",0.00,"",0.00,75.00,69.00,54.00,1.00,389.00,2,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N370","462","SMF","Sacramento, CA","CA","06","California",91,"PDX","Portland, OR","OR","41","Oregon",92,"1905","1918",13.00,13.00,0.00,0,"1900-1959",6.00,"1924","2038",5.00,"2035","2043",8.00,8.00,0.00,0,"2000-2059",0.00,"",0.00,90.00,85.00,74.00,1.00,479.00,2,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N685","1229","SMF","Sacramento, CA","CA","06","California",91,"PDX","Portland, OR","OR","41","Oregon",92,"2130","2206",36.00,36.00,1.00,2,"2100-2159",9.00,"2215","2328",6.00,"2300","2334",34.00,34.00,1.00,2,"2300-2359",0.00,"",0.00,90.00,88.00,73.00,1.00,479.00,2,3.00,0.00,0.00,0.00,31.00,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N364","1355","SMF","Sacramento, CA","CA","06","California",91,"PDX","Portland, OR","OR","41","Oregon",92,"1200","1230",30.00,30.00,1.00,2,"1200-1259",8.00,"1238","1353",3.00,"1330","1356",26.00,26.00,1.00,1,"1300-1359",0.00,"",0.00,90.00,86.00,75.00,1.00,479.00,2,23.00,0.00,0.00,0.00,3.00,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N480","2278","SMF","Sacramento, CA","CA","06","California",91,"PDX","Portland, OR","OR","41","Oregon",92,"0830","0831",1.00,1.00,0.00,0,"0800-0859",9.00,"0840","0954",3.00,"1000","0957",-3.00,0.00,0.00,-1,"1000-1059",0.00,"",0.00,90.00,86.00,74.00,1.00,479.00,2,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N611SW","2386","SMF","Sacramento, CA","CA","06","California",91,"PDX","Portland, OR","OR","41","Oregon",92,"1420","1430",10.00,10.00,0.00,0,"1400-1459",7.00,"1437","1551",2.00,"1550","1553",3.00,3.00,0.00,0,"1500-1559",0.00,"",0.00,90.00,83.00,74.00,1.00,479.00,2,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N482","409","SMF","Sacramento, CA","CA","06","California",91,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1840","1936",56.00,56.00,1.00,3,"1800-1859",7.00,"1943","2212",5.00,"2130","2217",47.00,47.00,1.00,3,"2100-2159",0.00,"",0.00,110.00,101.00,89.00,1.00,647.00,3,46.00,0.00,0.00,0.00,1.00,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N749SW","1131","SMF","Sacramento, CA","CA","06","California",91,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0935","0944",9.00,9.00,0.00,0,"0900-0959",9.00,"0953","1219",4.00,"1225","1223",-2.00,0.00,0.00,-1,"1200-1259",0.00,"",0.00,110.00,99.00,86.00,1.00,647.00,3,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N451","1212","SMF","Sacramento, CA","CA","06","California",91,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1450","1537",47.00,47.00,1.00,3,"1400-1459",7.00,"1544","1814",5.00,"1735","1819",44.00,44.00,1.00,2,"1700-1759",0.00,"",0.00,105.00,102.00,90.00,1.00,647.00,3,20.00,0.00,0.00,0.00,24.00,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N630WN","2456","SMF","Sacramento, CA","CA","06","California",91,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1315","1318",3.00,3.00,0.00,0,"1300-1359",8.00,"1326","1558",5.00,"1610","1603",-7.00,0.00,0.00,-1,"1600-1659",0.00,"",0.00,115.00,105.00,92.00,1.00,647.00,3,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N493","2575","SMF","Sacramento, CA","CA","06","California",91,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"0835","0836",1.00,1.00,0.00,0,"0800-0859",8.00,"0844","1112",7.00,"1130","1119",-11.00,0.00,0.00,-1,"1100-1159",0.00,"",0.00,115.00,103.00,88.00,1.00,647.00,3,,,,,,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N733SW","2608","SMF","Sacramento, CA","CA","06","California",91,"PHX","Phoenix, AZ","AZ","04","Arizona",81,"1955","2047",52.00,52.00,1.00,3,"1900-1959",9.00,"2056","2325",7.00,"2240","2332",52.00,52.00,1.00,3,"2200-2259",0.00,"",0.00,105.00,105.00,89.00,1.00,647.00,3,49.00,0.00,0.00,0.00,3.00,
2007,1,1,1,1,2007-01-01,"WN",19393,"WN","N348","139","SMF","Sacramento, CA","CA","06","California",91,"SAN","San Diego, CA","CA","06","California",91,"2035","2128",53.00,53.00,1.00,3,"2000-2059",8.00,"2136","2242",3.00,"2200","2245",45.00,45.00,1.00,3,"2200-2259",0.00,"",0.00,85.00,77.00,66.00,1.00,480.00,2,0.00,0.00,3.00,0.00,42.00,
