""	564
"ABE"	236094
"ABI"	39323
"ABQ"	1428081
"ABY"	15678
"ACK"	3633
"ACT"	38339
"ACV"	45521
"ACY"	17267
"ADK"	1148
"ADQ"	19362
"AEX"	33813
"AGS"	102541
"AKN"	11386
"ALB"	551504
"ALO"	2318
"AMA"	247002
"ANC"	743274
"ANI"	895
"APF"	7507
"ASE"	27272
"ATL"	11537401
"ATW"	47464
"AUS"	1509987
"AVL"	109406
"AVP"	89470
"AZO"	122912
"Albuquerque	1318
"Amarillo	871
"Anchorage	184
"Atlanta	3021
"Austin	1795
"BDL"	1221316
"BET"	36840
"BFF"	3
"BFI"	2
"BFL"	70830
"BGM"	51033
"BGR"	102965
"BHM"	765829
"BIL"	174533
"BIS"	91910
"BJI"	404
"BLI"	13662
"BMI"	43808
"BNA"	2222022
"BOI"	449306
"BOS"	4310428
"BPT"	16911
"BQK"	13697
"BQN"	16333
"BRO"	28597
"BRW"	24669
"BTM"	21328
"BTR"	284417
"BTV"	210310
"BUF"	926148
"BUR"	1094783
"BWI"	3230199
"BZN"	135062
"Bakersfield	56
"Baltimore	561
"Baton Rouge	443
"Billings	177
"Birmingham	222
"Boise	236
"Boston	688
"Bozeman	182
"Burbank	114
"CAE"	321310
"CAK"	154699
"CBM"	1
"CCR"	8145
"CDC"	7397
"CDV"	28473
"CEC"	12340
"CHA"	135634
"CHO"	37541
"CHS"	422800
"CIC"	14105
"CID"	244688
"CKB"	14
"CLD"	27760
"CLE"	2706500
"CLL"	36852
"CLT"	4823787
"CMH"	1431676
"CMI"	52492
"CMX"	1059
"COD"	13177
"COS"	511749
"CPR"	50434
"CRP"	231699
"CRW"	116938
"CSG"	36065
"CVG"	3683469
"CWA"	13839
"CYS"	14
"Charleston	59
"Charlotte	924
"Chicago	3318
"Cincinnati	1146
"Cleveland	570
"Colorado Springs	441
"Columbus	510
"Corpus Christi	269
"DAB"	165764
"DAL"	1799509
"DAY"	720382
"DBQ"	18654
"DCA"	3463270
"DEN"	6270420
"DET"	51891
"DFW"	10795494
"DHN"	20700
"DLG"	9273
"DLH"	62742
"DRO"	37500
"DSM"	419033
"DTW"	5635421
"DUT"	11589
"Dallas	1302
"Dallas/Ft. Worth	1834
"Dallas/Ft.Worth	2389
"Dayton	398
"Denver	3367
"Des Moines	109
"DestCityName"	240
"Detroit	1523
"EAU"	3646
"EFD"	7279
"EGE"	46349
"EKO"	24789
"ELM"	45783
"ELP"	968423
"ERI"	55521
"EUG"	139368
"EVV"	91251
"EWN"	2549
"EWR"	5136127
"EYW"	31607
"El Paso	1227
"Evansville	172
"FAI"	187332
"FAR"	123894
"FAT"	259671
"FAY"	84823
"FCA"	62946
"FLG"	33047
"FLL"	1904901
"FLO"	9888
"FMN"	8
"FNT"	107343
"FSD"	195130
"FSM"	33784
"FWA"	149262
"Flagstaff	107
"Fort Lauderdale	329
"Fort Wayne	1
"Fresno	119
"Ft. Myers	156
"GCC"	1492
"GCN"	11215
"GEG"	496509
"GFK"	45334
"GGG"	17443
"GJT"	66766
"GLH"	4
"GNV"	69124
"GPT"	93361
"GRB"	163187
"GRK"	43038
"GRR"	455855
"GSO"	736336
"GSP"	382481
"GST"	3571
"GTF"	115569
"GTR"	14858
"GUC"	14493
"GUM"	30462
"Great Falls	120
"Greensboro/High Point	113
